date,Value
2008/8/18,13572
2008/8/19,13562
2008/8/20,13547
2008/8/21,13531
2008/8/22,13520
2008/8/25,13518
2008/8/26,13502
2008/8/27,13497
2008/8/28,13488
2008/8/29,13485
2008/9/1,13464
2008/9/2,13437
2008/9/3,13427
2008/9/4,13406
2008/9/5,13393
2008/9/8,13377
2008/9/9,13310
2008/9/10,13307
2008/9/11,13290
2008/9/12,13265
2008/9/16,13247
2008/9/17,13203
2008/9/18,13179
2008/9/19,13021
2008/9/22,12985
2008/9/23,12945
2008/9/24,12927
2008/9/25,12926
2008/9/26,12886
2008/9/27,12876
2008/9/28,12846
2008/10/6,12823
2008/10/7,12707
2008/10/8,12695
2008/10/9,12666
2008/10/10,12653
2008/10/13,12621
2008/10/14,12553
2008/10/15,12512
2008/10/16,12489
2008/10/17,12416
2008/10/20,12330
2008/10/21,12188
2008/10/22,12163
2008/10/23,12135
2008/10/24,12082
2008/10/27,12041
2008/10/28,11940
2008/10/29,11910
2008/10/30,11773
2008/10/31,11746
2008/11/3,11685
2008/11/4,11582
2008/11/5,11511
2008/11/6,11433
2008/11/7,11276
2008/11/10,11126
2008/11/11,10968
2008/11/12,10821
2008/11/13,10643
2008/11/14,10569
2008/11/17,10510
2008/11/18,10411
2008/11/19,10402
2008/11/20,10395
2008/11/21,10436
2008/11/24,10435
2008/11/25,10511
2008/11/26,10596
2008/11/27,10629
2008/11/28,10662
2008/12/1,10676
2008/12/2,10697
2008/12/3,10749
2008/12/4,10786
2008/12/5,10785
2008/12/8,10791
2008/12/9,10808
2008/12/10,10811
2008/12/11,10822
2008/12/12,10825
2008/12/15,10828
2008/12/16,10839
2008/12/17,10857
2008/12/18,10885
2008/12/19,10891
2008/12/22,10896
2008/12/23,10906
2008/12/24,10914
2008/12/25,10920
2008/12/26,10925
2008/12/29,10933
2008/12/30,10935
2008/12/31,10953
2009/1/4,10966
2009/1/5,10995
2009/1/6,11023
2009/1/7,11053
2009/1/8,11081
2009/1/9,11089
2009/1/12,11090
2009/1/13,11087
2009/1/14,11085
2009/1/15,11077
2009/1/16,11072
2009/1/19,11075
2009/1/20,11083
2009/1/21,11088
2009/1/22,11089
2009/1/23,11090
2009/1/24,11092
2009/2/1,11092
2009/2/2,11087
2009/2/3,11095
2009/2/4,11096
2009/2/5,11115
2009/2/6,11117
2009/2/9,11119
2009/2/10,11150
2009/2/11,11157
2009/2/12,11165
2009/2/13,11176
2009/2/16,11192
2009/2/17,11198
2009/2/18,11213
2009/2/19,11256
2009/2/20,11308
2009/2/23,11322
2009/2/24,11341
2009/2/25,11414
2009/2/26,11436
2009/2/27,11436
2009/3/2,11445
2009/3/3,11450
2009/3/4,11452
2009/3/5,11455
2009/3/6,11457
2009/3/9,11455
2009/3/10,11477
2009/3/11,11500
2009/3/12,11521
2009/3/13,11540
2009/3/16,11546
2009/3/17,11577
2009/3/18,11597
2009/3/19,11608
2009/3/20,11635
2009/3/23,11648
2009/3/24,11655
2009/3/25,11666
2009/3/26,11669
2009/3/27,11679
2009/3/30,11682
2009/3/31,11692
2009/4/1,11721
2009/4/2,11806
2009/4/3,11819
2009/4/7,11892
2009/4/8,11941
2009/4/9,12027
2009/4/10,12082
2009/4/13,12172
2009/4/14,12291
2009/4/15,12359
2009/4/16,12399
2009/4/17,12469
2009/4/20,12501
2009/4/21,12567
2009/4/22,12609
2009/4/23,12629
2009/4/24,12673
2009/4/27,12686
2009/4/28,12696
